,course_id,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,year
629,662450,How I Trade Forex Successfully,False,0,5768,109,12,All Levels,1.5,Business Finance,2015
630,312834,Professional Trading With Institutional Supply & Demand,True,200,343,84,37,All Levels,5.5,Business Finance,2014
631,44319,Master Calendar Spreads with this live trade on Gold (GLD),True,60,540,44,6,Expert Level,1.0,Business Finance,2013
632,174800,Accounting 101: Guide to Business Accounting,True,50,2031,15,29,Beginner Level,14.5,Business Finance,2014
633,1179546,An Introduction to Financial Markets on Wall Street,True,30,7,1,29,All Levels,2.0,Business Finance,2017
634,1239206,Win 90% of Trades; Quantitative Investments Models in Excel,True,200,4,1,16,Beginner Level,1.5,Business Finance,2017
635,1149564,The Forex Pivot Points Trading Strategy,True,20,21,2,12,All Levels,2.0,Business Finance,2017
636,79364,Your Business by the Numbers,True,25,29,2,42,All Levels,3.0,Business Finance,2013
637,917172,Forex - Trade Gartley with Precision - Complete Strategy,True,20,50,1,23,All Levels,1.5,Business Finance,2016
638,1276364,Bitcoin & Ethereum Course (2 Course Bundle),True,200,1,0,52,All Levels,2.5,Business Finance,2017
639,1237912,Create Trading Robot Without Coding Skills!,True,145,5,0,13,All Levels,1.0,Business Finance,2017
640,531710,Accounting and the Triple Bottom Line,True,30,6,2,19,Intermediate Level,0.55,Business Finance,2015
641,1021760,MQL5 - Beginner To Expert,True,45,16,1,16,Beginner Level,1.5,Business Finance,2017
642,193916,How to be A High Performance Insurance Broker Part 2,True,40,70,3,15,All Levels,2.0,Business Finance,2014
643,74016,"CFA Level I Workshop 5: Corp Finance, Quants II & Derivative",True,20,110,1,5,All Levels,1.0,Business Finance,2013
644,1073430,Xero Bookkeeping Course & Certification by Accounting Firm,True,20,7,3,15,Beginner Level,2.0,Business Finance,2017
645,834606,Trading News Using Binary Options,True,145,1186,16,22,All Levels,1.5,Business Finance,2016
646,629060,Trading Trends in ANY Market,True,30,632,49,22,All Levels,2.0,Business Finance,2015
647,698278,Financial Statements Analysis: Learn to Invest Like a Pro!,True,50,1237,54,35,Beginner Level,2.5,Business Finance,2016
648,975414,Contango VXX - ETF Options Trading - Double Your Investment,True,200,513,20,20,All Levels,1.0,Business Finance,2016
649,112296,Mergers and Acquisitions M&A Essentials You Need to Know,True,95,4103,19,15,Beginner Level,1.0,Business Finance,2013
650,536166,TRADING MARKET MAP,True,45,1489,32,27,All Levels,3.5,Business Finance,2015
651,718338,How To Confidently Join The Bitcoin Revolution,True,45,547,98,53,Beginner Level,7.0,Business Finance,2016
652,996612,High Probability Trading Across Any Market: Stocks & Forex,True,95,353,27,105,All Levels,18.5,Business Finance,2016
653,941120,Option Trading for Rookies: Make & Manage Profitable Trades,True,95,507,19,59,All Levels,2.0,Business Finance,2016
654,498488,Your First Successful Forex Trades - With Case Studies,True,200,1079,34,16,All Levels,2.5,Business Finance,2015
655,364566,MCA Accountancy and Financial Management -Paper MCS 35 IGNOU,True,180,3667,4,460,All Levels,43.5,Business Finance,2014
